date,close
2025-02-14,276.59
2025-02-18,279.95
2025-02-19,279.25
2025-02-20,266.8
2025-02-21,264.24
2025-02-24,261.34
2025-02-25,257.4
2025-02-26,258.79
2025-02-27,259.05
2025-02-28,264.65
2025-03-03,260.62
2025-03-04,250.25
2025-03-05,251.53
2025-03-06,246.54
2025-03-07,242.28
2025-03-10,232.22
2025-03-11,229.14
2025-03-12,227.9
2025-03-13,225.19
2025-03-14,232.44
2025-03-17,233.93
2025-03-18,234.97
2025-03-19,239.11
2025-03-20,239.01
2025-03-21,241.63
2025-03-24,248.06
2025-03-25,251.13
2025-03-26,251.03
2025-03-27,248.12
2025-03-28,242.85
2025-03-31,245.3
2025-04-01,243.66
2025-04-02,245.82
2025-04-03,228.69
2025-04-04,210.28
2025-04-07,214.44
2025-04-08,216.87
2025-04-09,234.34
2025-04-10,227.11
2025-04-11,236.2
2025-04-14,234.72
2025-04-15,233.13
2025-04-16,229.61
2025-04-17,231.96
2025-04-21,228.99
2025-04-22,235.59
2025-04-23,240.88
2025-04-24,244.64
2025-04-25,243.55
2025-04-28,243.22
2025-04-29,244.62
2025-04-30,244.62
2025-05-01,246.89
2025-05-02,252.51
2025-05-05,252.56
2025-05-06,249.25
2025-05-07,249.39
2025-05-08,253.47
2025-05-09,253.08
2025-05-12,260.05
2025-05-13,263.01
2025-05-14,265.64
2025-05-15,267.49
2025-05-16,267.56
2025-05-19,264.88
2025-05-20,265.68
2025-05-21,261.04
2025-05-22,260.67
2025-05-23,260.71
2025-05-27,265.29
2025-05-28,263.49
2025-05-29,264.37
2025-05-30,264.0
2025-06-02,264.66
2025-06-03,266.27
2025-06-04,264.22
2025-06-05,261.95
2025-06-06,265.73
2025-06-09,266.74
2025-06-10,268.6
2025-06-11,268.15
2025-06-12,268.24
2025-06-13,264.95
2025-06-16,270.36
2025-06-17,269.52
2025-06-18,273.96
2025-06-20,275.0
2025-06-23,278.27
2025-06-24,281.26
2025-06-25,284.06
2025-06-26,288.75
2025-06-27,287.11
2025-06-30,289.91
2025-07-01,290.41
2025-07-02,292.0
2025-07-03,296.0
2025-07-07,291.97
2025-07-08,282.78
2025-07-09,283.16
2025-07-10,288.19
2025-07-11,286.86
2025-07-14,288.7
2025-07-15,286.55
2025-07-16,285.82
2025-07-17,289.9
2025-07-18,291.27
2025-07-21,290.97
2025-07-22,291.43
2025-07-23,296.76
2025-07-24,296.55
2025-07-25,298.62
2025-07-28,298.28
2025-07-29,297.04
2025-07-30,299.63
2025-07-31,296.24
2025-08-01,289.37
2025-08-04,294.26
2025-08-05,291.37
2025-08-06,291.35
2025-08-07,286.94
2025-08-08,288.76
2025-08-11,289.56
2025-08-12,292.85
2025-08-13,290.53
2025-08-14,294.16
2025-08-15,290.49
2025-08-18,291.53
2025-08-19,290.66
2025-08-20,292.24
2025-08-21,291.47
2025-08-22,296.24
2025-08-25,294.9
2025-08-26,298.57
2025-08-27,299.28
2025-08-28,301.07
2025-08-29,301.42
2025-09-02,299.7
2025-09-03,299.51
2025-09-04,303.82
2025-09-05,294.38
2025-09-08,292.91
2025-09-09,297.85
2025-09-10,300.54
2025-09-11,305.56
2025-09-12,306.91
2025-09-15,308.9
2025-09-16,309.19
2025-09-17,311.75
2025-09-18,313.23
2025-09-19,314.78
2025-09-22,312.44
2025-09-23,312.74
2025-09-24,313.42
2025-09-25,313.45
2025-09-26,316.06
2025-09-29,315.69
2025-09-30,315.43
2025-10-01,310.71
2025-10-02,307.55
2025-10-03,310.03
2025-10-06,309.18
2025-10-07,307.69
2025-10-08,304.03
2025-10-09,305.53
2025-10-10,300.89
2025-10-13,307.97
2025-10-14,302.08
2025-10-15,305.69
2025-10-16,298.54
2025-10-17,297.56
2025-10-20,302.36
2025-10-21,297.09
2025-10-22,294.11
2025-10-23,294.54
2025-10-24,300.44
2025-10-27,304.15
2025-10-28,305.36
2025-10-29,305.51
2025-10-30,309.44
2025-10-31,311.12
2025-11-03,309.35
2025-11-04,309.25
2025-11-05,311.68
2025-11-06,313.42
2025-11-07,314.21
2025-11-10,316.89
2025-11-11,315.62
2025-11-12,320.41
2025-11-13,309.48
2025-11-14,303.61
2025-11-17,300.37
2025-11-18,299.41
2025-11-19,303.27
2025-11-20,298.38
2025-11-21,298.02
2025-11-24,298.0
2025-11-25,303.0
2025-11-26,307.64
2025-11-28,313.08
2025-12-01,308.92
2025-12-02,307.88
2025-12-03,312.13
2025-12-04,316.1
2025-12-05,315.04
2025-12-08,315.21
2025-12-09,300.51
2025-12-10,310.11
2025-12-11,317.38
2025-12-12,318.52
2025-12-15,320.02
2025-12-16,315.55
2025-12-17,314.98
2025-12-18,313.0
2025-12-19,317.21
2025-12-22,323.09
2025-12-23,325.93
2025-12-24,329.17
2025-12-26,327.91
2025-12-29,323.75
2025-12-30,323.42
2025-12-31,322.22
2026-01-02,325.48
2026-01-05,334.04
2026-01-06,334.61
2026-01-07,326.99
2026-01-08,329.79
2026-01-09,329.19
2026-01-12,324.49
2026-01-13,310.9
2026-01-14,307.87
2026-01-15,309.26
2026-01-16,312.47
2026-01-20,302.74
2026-01-21,302.04
2026-01-22,303.63
2026-01-23,297.72
