date,close
2025-02-14,302.72
2025-02-18,295.66
2025-02-19,299.06
2025-02-20,291.02
2025-02-21,285.0
2025-02-24,285.26
2025-02-25,283.72
2025-02-26,285.67
2025-02-27,282.35
2025-02-28,274.21
2025-03-03,272.03
2025-03-04,267.43
2025-03-05,267.24
2025-03-06,260.39
2025-03-07,259.75
2025-03-10,248.4
2025-03-11,250.85
2025-03-12,251.85
2025-03-13,246.93
2025-03-14,254.43
2025-03-17,260.62
2025-03-18,259.95
2025-03-19,268.3
2025-03-20,267.82
2025-03-21,267.25
2025-03-24,269.19
2025-03-25,273.08
2025-03-26,271.21
2025-03-27,269.81
2025-03-28,261.63
2025-03-31,261.8
2025-04-01,264.61
2025-04-02,267.93
2025-04-03,257.15
2025-04-04,245.51
2025-04-07,243.62
2025-04-08,238.84
2025-04-09,263.53
2025-04-10,256.92
2025-04-11,258.45
2025-04-14,260.71
2025-04-15,265.34
2025-04-16,260.16
2025-04-17,259.47
2025-04-21,254.27
2025-04-22,261.14
2025-04-23,264.44
2025-04-24,271.71
2025-04-25,269.93
2025-04-28,271.47
2025-04-29,272.89
2025-04-30,274.25
2025-05-01,273.49
2025-05-02,279.99
2025-05-05,280.07
2025-05-06,278.64
2025-05-07,283.36
2025-05-08,289.62
2025-05-09,287.48
2025-05-12,293.2
2025-05-13,297.01
2025-05-14,295.54
2025-05-15,295.78
2025-05-16,298.08
2025-05-19,295.9
2025-05-20,295.84
2025-05-21,292.93
2025-05-22,295.0
2025-05-23,295.35
2025-05-27,300.36
2025-05-28,299.23
2025-05-29,297.0
2025-05-30,296.12
2025-06-02,295.26
2025-06-03,299.52
2025-06-04,298.36
2025-06-05,298.22
2025-06-06,297.86
2025-06-09,297.21
2025-06-10,297.54
2025-06-11,296.77
2025-06-12,298.57
2025-06-13,292.16
2025-06-16,299.3
2025-06-17,296.85
2025-06-18,295.19
2025-06-20,297.21
2025-06-23,300.95
2025-06-24,304.19
2025-06-25,302.37
2025-06-26,304.93
2025-06-27,305.13
2025-06-30,309.57
2025-07-01,311.67
2025-07-02,310.34
2025-07-03,316.66
2025-07-07,315.31
2025-07-08,314.91
2025-07-09,307.27
2025-07-10,286.11
2025-07-11,280.39
2025-07-14,294.55
2025-07-15,288.96
2025-07-16,289.47
2025-07-17,292.16
2025-07-18,297.03
2025-07-21,295.16
2025-07-22,299.43
2025-07-23,300.98
2025-07-24,301.1
2025-07-25,303.28
2025-07-28,304.47
2025-07-29,306.61
2025-07-30,308.14
2025-07-31,303.11
2025-08-01,297.02
2025-08-04,302.5
2025-08-05,299.2
2025-08-06,305.18
2025-08-07,292.99
2025-08-08,290.68
2025-08-11,284.62
2025-08-12,283.03
2025-08-13,287.01
2025-08-14,283.75
2025-08-15,286.73
2025-08-18,289.66
2025-08-19,289.24
2025-08-20,288.63
2025-08-21,286.06
2025-08-22,290.23
2025-08-25,285.34
2025-08-26,282.45
2025-08-27,285.95
2025-08-28,288.49
2025-08-29,314.7
2025-09-02,319.16
2025-09-03,317.51
2025-09-04,319.93
2025-09-05,326.37
2025-09-08,326.79
2025-09-09,325.19
2025-09-10,323.8
2025-09-11,324.52
2025-09-12,319.05
2025-09-15,321.07
2025-09-16,318.51
2025-09-17,319.28
2025-09-18,323.04
2025-09-19,322.67
2025-09-22,324.39
2025-09-23,324.86
2025-09-24,323.52
2025-09-25,320.17
2025-09-26,322.88
2025-09-29,322.03
2025-09-30,317.67
2025-10-01,315.73
2025-10-02,320.91
2025-10-03,318.9
2025-10-06,323.43
2025-10-07,314.19
2025-10-08,311.41
2025-10-09,310.32
2025-10-10,303.5
2025-10-13,307.97
2025-10-14,306.59
2025-10-15,305.08
2025-10-16,299.82
2025-10-17,303.66
2025-10-20,307.95
2025-10-21,310.57
2025-10-22,308.15
2025-10-23,309.84
2025-10-24,312.88
2025-10-27,313.53
2025-10-28,311.08
2025-10-29,297.08
2025-10-30,300.77
2025-10-31,301.34
2025-11-03,303.64
2025-11-04,300.86
2025-11-05,300.96
2025-11-06,294.86
2025-11-07,297.18
2025-11-10,298.72
2025-11-11,301.86
2025-11-12,301.74
2025-11-13,297.17
2025-11-14,299.39
2025-11-17,291.96
2025-11-18,292.23
2025-11-19,291.19
2025-11-20,286.94
2025-11-21,290.8
2025-11-24,289.85
2025-11-25,294.43
2025-11-26,301.38
2025-11-28,303.34
2025-12-01,305.12
2025-12-02,310.25
2025-12-03,307.24
2025-12-04,305.85
2025-12-05,306.74
2025-12-08,301.39
2025-12-09,300.75
2025-12-10,300.1
2025-12-11,300.93
2025-12-12,297.64
2025-12-15,294.31
2025-12-16,293.98
2025-12-17,292.97
2025-12-18,299.24
2025-12-19,300.08
2025-12-22,300.47
2025-12-23,297.58
2025-12-24,298.21
2025-12-26,300.71
2025-12-29,301.23
2025-12-30,299.54
2025-12-31,296.01
2026-01-02,286.73
2026-01-05,288.66
2026-01-06,293.17
2026-01-07,293.79
2026-01-08,276.58
2026-01-09,276.02
2026-01-12,277.89
2026-01-13,270.63
2026-01-14,261.28
2026-01-15,262.26
2026-01-16,265.69
2026-01-20,253.87
2026-01-21,257.44
2026-01-22,269.77
2026-01-23,270.0
